max_depth,min_samples_split,min_samples_leaf,max_features,train_r2,train_rmse,train_mae,val_r2,val_rmse,val_mae
30.0,2,10,sqrt,0.4422807559447225,168052353.45690596,97801013.19954784,0.4427604817350125,156553291.11928877,100732182.70795111
,10,10,sqrt,0.4422807559447225,168052353.45690596,97801013.19954784,0.4427604817350125,156553291.11928877,100732182.70795111
,2,10,sqrt,0.4422807559447225,168052353.45690596,97801013.19954784,0.4427604817350125,156553291.11928877,100732182.70795111
30.0,10,10,sqrt,0.4422807559447225,168052353.45690596,97801013.19954784,0.4427604817350125,156553291.11928877,100732182.70795111
20.0,10,10,sqrt,0.4304909119284772,169819326.14274928,98464811.04101981,0.4414370679432704,156739083.6829081,102144465.73830481
20.0,2,10,sqrt,0.4304909119284772,169819326.14274928,98464811.04101981,0.4414370679432704,156739083.6829081,102144465.73830481
10.0,2,1,sqrt,0.6340633842593355,136125571.9378219,74255559.14311776,0.4307486445904659,158231623.67677873,100296933.21725146
10.0,10,1,,0.7867016616585996,103927509.46444178,59388429.58105093,0.4075454499863407,161424246.35449457,92724856.52865921
30.0,10,1,sqrt,0.7275296498339716,117461734.2810776,62152498.957245074,0.3958382026233842,163011362.7402562,97124019.70606096
10.0,10,5,sqrt,0.5429172688879342,152136769.68368414,89670610.86775455,0.35017969549047023,169058840.71164355,102005186.09703244
10.0,2,5,sqrt,0.5429172688879342,152136769.68368414,89670610.86775455,0.35017969549047023,169058840.71164355,102005186.09703244
20.0,10,1,,0.8308317642010312,92554213.34547338,44876898.167731255,0.3474154753905858,169418032.26574418,98144307.33226371
10.0,2,1,,0.9026385573647975,70215062.0529636,44105189.83017633,0.3447215654160696,169767356.27716273,96159146.6867027
30.0,2,1,sqrt,0.9987812646912806,7855819.215946925,1016475.6052721965,0.34375366677776087,169892689.9914411,105404096.20336075
30.0,10,1,,0.8330503399467932,91945304.06403664,43413195.93841908,0.340625383273472,170297142.2559156,99509115.6343107
,10,1,,0.8330503399467932,91945304.06403664,43413195.93841908,0.340625383273472,170297142.2559156,99509115.6343107
,10,1,sqrt,0.7241029802142603,118198043.66893303,61121650.36397333,0.3289194936997899,171802136.22806978,100051953.99635755
20.0,2,1,sqrt,0.9350166594075707,57363785.14301531,27043268.86593442,0.3218364350384677,172706417.06078222,104807604.18278237
,2,5,sqrt,0.5189282479182347,156078007.4428524,93488110.56979081,0.32153476983608154,172744824.9954037,105931969.57501526
,10,5,sqrt,0.5189282479182347,156078007.4428524,93488110.56979081,0.32153476983608154,172744824.9954037,105931969.57501526
30.0,10,5,sqrt,0.5189282479182347,156078007.4428524,93488110.56979081,0.32153476983608154,172744824.9954037,105931969.57501526
30.0,2,5,sqrt,0.5189282479182347,156078007.4428524,93488110.56979081,0.32153476983608154,172744824.9954037,105931969.57501526
20.0,10,1,sqrt,0.6647876119096837,130285718.93985184,70219646.96944925,0.31405621613097245,173694277.41988182,102519071.90034956
,2,1,sqrt,1.0,0.0,0.0,0.2958823195987178,175980226.6431101,105411307.53703703
10.0,10,1,sqrt,0.6486937555711813,133376623.405104,81922328.06171204,0.24243934362587238,182536598.65324986,107011363.05358289
30.0,2,1,,0.9999999711450294,38224.965495904115,1943.5625965996908,0.22282699693972463,184884328.75510892,107010029.73971194
,2,1,,1.0,0.0,0.0,0.19179449699140805,188539412.5122002,108340257.71604939
20.0,2,1,,0.9936460787453368,17937325.86310321,5711137.804164369,0.18437005197893586,189403425.69877625,110342101.0763044
