model,params,r2_train,rmse_train,mae_train,r2_val,rmse_val,mae_val,r2_gap
Baseline(DummyMean),{'strategy': 'mean'},0.0,225.028,134.98,-0.0,209.72,140.19,0.0
RandomForest,"{'n_estimators': 200, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.932,58.704,32.18,0.628,127.86,79.85,0.304
RandomForest,"{'n_estimators': 400, 'max_depth': 30, 'min_samples_leaf': 5, 'max_features': 'sqrt'}",0.545,151.767,85.11,0.576,136.63,89.07,-0.03
RandomForest,"{'n_estimators': 600, 'max_depth': 20, 'min_samples_leaf': 10, 'max_features': 'sqrt'}",0.478,162.608,91.36,0.531,143.63,94.17,-0.053
RandomForest,"{'n_estimators': 400, 'max_depth': 15, 'min_samples_leaf': 20, 'max_features': 'sqrt'}",0.414,172.275,96.7,0.48,151.23,99.41,-0.066
