model,params,r2_train,rmse_train,mae_train,r2_val,rmse_val,mae_val,r2_gap_train_minus_val
Baseline(DummyMean),{'strategy': 'mean'},0.0,225028115.82392564,134978136.15588292,-8.82793864831477e-06,209721601.20149094,140188459.35094124,8.82793864831477e-06
LinearRegression,{'fit_intercept': True},0.5049925011075806,158322512.3518076,88684076.58475856,0.5819428750515229,135599804.2681369,84421658.8909762,-0.07695037394394222
LinearRegression,{'fit_intercept': False},0.5049568934408843,158328206.60278895,88687727.1494777,0.5819106878855467,135605024.23586315,84430037.468631,-0.07695379444466233
